Device ID,,,,
Remarks,_A5_234,,,
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.92685,8.46E-05,-0.001091167,5.92685,5.92685
5.92695,8.47E-05,-0.001025514,5.92695,5.92695
5.92705,8.47E-05,-0.000686413,5.92705,5.92705
5.92715,8.47E-05,-0.000457718,5.92715,5.92715
5.92725,8.47E-05,-0.000579384,5.92725,5.92725
5.92735,8.47E-05,-0.000604435,5.92735,5.92735
5.92745,8.47E-05,-0.00082933,5.92745,5.92745
5.92755,8.47E-05,-0.000997086,5.92755,5.92755
5.92765,8.47E-05,-0.001007008,5.92765,5.92765
5.92775,8.47E-05,-0.000878516,5.92775,5.92775
5.92785,8.46E-05,-0.00064757,5.92785,5.92785
5.92795,8.47E-05,-0.000749955,5.92795,5.92795
5.92805,8.47E-05,-0.000820745,5.92805,5.92805
5.92815,8.46E-05,-0.000888931,5.92815,5.92815
5.92825,8.46E-05,-0.001031847,5.92825,5.92825
5.92835,8.47E-05,-0.001157383,5.92835,5.92835
5.92845,8.46E-05,-0.000839744,5.92845,5.92845
5.92855,8.47E-05,-0.00099589,5.92855,5.92855
5.92865,8.47E-05,-0.000672199,5.92865,5.92865
5.92875,8.47E-05,-0.000829541,5.92875,5.92875
5.92885,8.47E-05,-0.000785842,5.92885,5.92885
5.92895,8.47E-05,-0.00073757,5.92895,5.92895
5.92905,8.46E-05,-0.000643418,5.92905,5.92905
5.92915,8.46E-05,-0.000929463,5.92915,5.92915
5.92925,8.46E-05,-0.001042755,5.92925,5.92925
5.92935,8.47E-05,-0.000627726,5.92935,5.92935
5.92945,8.47E-05,-0.000733207,5.92945,5.92945
5.92955,8.47E-05,-0.000614286,5.92955,5.92955
5.92965,8.47E-05,-0.000611682,5.92965,5.92965
5.92975,8.47E-05,-0.000838829,5.92975,5.92975
5.92985,8.47E-05,-0.001037618,5.92985,5.92985
5.92995,8.47E-05,-0.001036421,5.92995,5.92995
5.93005,8.46E-05,-0.00090406,5.93005,5.93005
5.93015,8.47E-05,-0.001176734,5.93015,5.93015
5.93025,8.47E-05,-0.001094123,5.93025,5.93025
5.93035,8.47E-05,-0.000887805,5.93035,5.93035
5.93045,8.47E-05,-0.001093419,5.93045,5.93045
5.93055,8.47E-05,-0.001109041,5.93055,5.93055
5.93065,8.47E-05,-0.001291152,5.93065,5.93065
5.93075,8.47E-05,-0.00096148,5.93075,5.93075
5.93085,8.47E-05,-0.000971683,5.93085,5.93085
5.93095,8.47E-05,-0.001019885,5.93095,5.93095
5.93105,8.47E-05,-0.00114908,5.93105,5.93105
5.93115,8.47E-05,-0.001334006,5.93115,5.93115
5.93125,8.47E-05,-0.000987657,5.93125,5.93125
5.93135,8.47E-05,-0.001184897,5.93135,5.93135
5.93145,8.47E-05,-0.001113333,5.93145,5.93145
5.93155,8.46E-05,-0.000917993,5.93155,5.93155
5.93165,8.47E-05,-0.001074068,5.93165,5.93165
5.93175,8.47E-05,-0.000853325,5.93175,5.93175
5.93185,8.46E-05,-0.000934037,5.93185,5.93185
5.93195,8.47E-05,-0.000944169,5.93195,5.93195
5.93205,8.47E-05,-0.00066284,5.93205,5.93205
5.93215,8.47E-05,-0.000790768,5.93215,5.93215
5.93225,8.47E-05,-0.001026148,5.93225,5.93225
5.93235,8.47E-05,-0.000839674,5.93235,5.93235
5.93245,8.47E-05,-0.000719204,5.93245,5.93245
5.93255,8.47E-05,-0.000604787,5.93255,5.93255
5.93265,8.47E-05,-0.000606475,5.93265,5.93265
5.93275,8.47E-05,-0.000773317,5.93275,5.93275
5.93285,8.47E-05,-0.000958524,5.93285,5.93285
5.93295,8.47E-05,-0.001036421,5.93295,5.93295
5.93305,8.47E-05,-0.001013693,5.93305,5.93305
5.93315,8.47E-05,-0.000886327,5.93315,5.93315
5.93325,8.47E-05,-0.001213959,5.93325,5.93325
5.93335,8.47E-05,-0.001015593,5.93335,5.93335
5.93345,8.47E-05,-0.00102474,5.93345,5.93345
5.93355,8.47E-05,-0.001048243,5.93355,5.93355
5.93365,8.47E-05,-0.000841362,5.93365,5.93365
5.93375,8.47E-05,-0.001061683,5.93375,5.93375
5.93385,8.47E-05,-0.001152035,5.93385,5.93385
5.93395,8.47E-05,-0.0012027,5.93395,5.93395
5.93405,8.47E-05,-0.001008485,5.93405,5.93405
5.93415,8.47E-05,-0.001112841,5.93415,5.93415
5.93425,8.47E-05,-0.001010878,5.93425,5.93425
5.93435,8.47E-05,-0.00076628,5.93435,5.93435
5.93445,8.47E-05,-0.000770713,5.93445,5.93445
5.93455,8.47E-05,-0.000979142,5.93455,5.93455
5.93465,8.46E-05,-0.000958454,5.93465,5.93465
5.93475,8.46E-05,-0.00078725,5.93475,5.93475
5.93485,8.47E-05,-0.000801394,5.93485,5.93485
5.93495,8.46E-05,-0.000770432,5.93495,5.93495
5.93505,8.47E-05,-0.000612597,5.93505,5.93505
5.93515,8.47E-05,-0.000655381,5.93515,5.93515
5.93525,8.47E-05,-0.000927774,5.93525,5.93525
5.93535,8.46E-05,-0.001077797,5.93535,5.93535
5.93545,8.47E-05,-0.000882035,5.93545,5.93545
5.93555,8.47E-05,-0.001245413,5.93555,5.93555
5.93565,8.47E-05,-0.001182012,5.93565,5.93565
5.93575,8.47E-05,-0.001104397,5.93575,5.93575
5.93585,8.46E-05,-0.000975202,5.93585,5.93585
5.93595,8.46E-05,-0.001240065,5.93595,5.93595
5.93605,8.47E-05,-0.000959017,5.93605,5.93605
5.93615,8.46E-05,-0.000964083,5.93615,5.93615
5.93625,8.47E-05,-0.001004686,5.93625,5.93625
5.93635,8.47E-05,-0.001096938,5.93635,5.93635
5.93645,8.47E-05,-0.001058869,5.93645,5.93645
5.93655,8.47E-05,-0.001011089,5.93655,5.93655
5.93665,8.46E-05,-0.000973583,5.93665,5.93665
5.93675,8.47E-05,-0.001199322,5.93675,5.93675
5.93685,8.46E-05,-0.000952402,5.93685,5.93685
5.93695,8.46E-05,-0.000921089,5.93695,5.93695
5.93705,8.47E-05,-0.000930589,5.93705,5.93705
5.93715,8.47E-05,-0.00105155,5.93715,5.93715
5.93725,8.46E-05,-0.000870283,5.93725,5.93725
5.93735,8.46E-05,-0.001027837,5.93735,5.93735
5.93745,8.47E-05,-0.00096542,5.93745,5.93745
5.93755,8.46E-05,-0.001283201,5.93755,5.93755
5.93765,8.46E-05,-0.001060839,5.93765,5.93765
5.93775,8.47E-05,-0.001105171,5.93775,5.93775
5.93785,8.47E-05,-0.001123748,5.93785,5.93785
5.93795,8.47E-05,-0.001071816,5.93795,5.93795
5.93805,8.47E-05,-0.001091941,5.93805,5.93805
5.93815,8.47E-05,-0.000925733,5.93815,5.93815
5.93825,8.47E-05,-0.00071083,5.93825,5.93825
5.93835,8.47E-05,-0.000796749,5.93835,5.93835
5.93845,8.46E-05,-0.000895897,5.93845,5.93845
5.93855,8.47E-05,-0.000923552,5.93855,5.93855
5.93865,8.46E-05,-0.000783942,5.93865,5.93865
5.93875,8.46E-05,-0.00086578,5.93875,5.93875
5.93885,8.47E-05,-0.000976327,5.93885,5.93885
5.93895,8.46E-05,-0.000701894,5.93895,5.93895
5.93905,8.47E-05,-0.000574247,5.93905,5.93905
5.93915,8.46E-05,-0.000817508,5.93915,5.93915
5.93925,8.47E-05,-0.000758188,5.93925,5.93925
5.93935,8.47E-05,-0.000623645,5.93935,5.93935
5.93945,8.47E-05,-0.0005423,5.93945,5.93945
5.93955,8.46E-05,-0.000589306,5.93955,5.93955
5.93965,8.46E-05,-0.000704779,5.93965,5.93965
5.93975,8.46E-05,-0.00080259,5.93975,5.93975
5.93985,8.46E-05,-0.000822363,5.93985,5.93985
5.93995,8.46E-05,-0.000865921,5.93995,5.93995
5.94005,8.46E-05,-0.000850792,5.94005,5.94005
5.94015,8.46E-05,-0.000956695,5.94015,5.94015
5.94025,8.47E-05,-0.000896038,5.94025,5.94025
5.94035,8.47E-05,-0.000873731,5.94035,5.94035
5.94045,8.47E-05,-0.000827359,5.94045,5.94045
5.94055,8.46E-05,-0.000873731,5.94055,5.94055
5.94065,8.47E-05,-0.000845022,5.94065,5.94065
5.94075,8.47E-05,-0.001029033,5.94075,5.94075
5.94085,8.47E-05,-0.000837281,5.94085,5.94085
5.94095,8.47E-05,-0.000931503,5.94095,5.94095
5.94105,8.47E-05,-0.000876546,5.94105,5.94105
5.94115,8.47E-05,-0.000868806,5.94115,5.94115
5.94125,8.47E-05,-0.000812371,5.94125,5.94125
5.94135,8.47E-05,-0.000842066,5.94135,5.94135
5.94145,8.47E-05,-0.00061309,5.94145,5.94145
5.94155,8.47E-05,-0.000677898,5.94155,5.94155
5.94165,8.47E-05,-0.000811949,5.94165,5.94165
5.94175,8.47E-05,-0.000590009,5.94175,5.94175
5.94185,8.47E-05,-0.000561581,5.94185,5.94185
5.94195,8.47E-05,-0.000587758,5.94195,5.94195
5.94205,8.46E-05,-0.000585506,5.94205,5.94205
5.94215,8.46E-05,-0.000539767,5.94215,5.94215
5.94225,8.46E-05,-0.000946632,5.94225,5.94225
5.94235,8.46E-05,-0.000750166,5.94235,5.94235
5.94245,8.46E-05,-0.000906101,5.94245,5.94245
5.94255,8.46E-05,-0.000843403,5.94255,5.94255
5.94265,8.46E-05,-0.000664036,5.94265,5.94265
5.94275,8.46E-05,-0.000809556,5.94275,5.94275
5.94285,8.46E-05,-0.000769376,5.94285,5.94285
5.94295,8.47E-05,-0.000544059,5.94295,5.94295
5.94305,8.47E-05,-0.000707171,5.94305,5.94305
5.94315,8.47E-05,-0.000857969,5.94315,5.94315
5.94325,8.47E-05,-0.000939807,5.94325,5.94325
5.94335,8.46E-05,-0.00087345,5.94335,5.94335
5.94345,8.47E-05,-0.000566295,5.94345,5.94345
5.94355,8.47E-05,-0.000472566,5.94355,5.94355
5.94365,8.47E-05,-0.000562284,5.94365,5.94365
5.94375,8.47E-05,-0.000500924,5.94375,5.94375
5.94385,8.46E-05,-0.000760932,5.94385,5.94385
5.94395,8.46E-05,-0.000665584,5.94395,5.94395
5.94405,8.46E-05,-0.00060359,5.94405,5.94405
5.94415,8.47E-05,-0.000438789,5.94415,5.94415
5.94425,8.47E-05,-0.0006361,5.94425,5.94425
5.94435,8.46E-05,-0.00081223,5.94435,5.94435
5.94445,8.47E-05,-0.000739189,5.94445,5.94445
5.94455,8.46E-05,-0.000626389,5.94455,5.94455
5.94465,8.46E-05,-0.000832918,5.94465,5.94465
5.94475,8.47E-05,-0.001110026,5.94475,5.94475
5.94485,8.46E-05,-0.000819689,5.94485,5.94485
5.94495,8.46E-05,-0.000814412,5.94495,5.94495
5.94505,8.46E-05,-0.000763395,5.94505,5.94505
5.94515,8.46E-05,-0.000885553,5.94515,5.94515
5.94525,8.46E-05,-0.000829681,5.94525,5.94525
5.94535,8.46E-05,-0.000494591,5.94535,5.94535
5.94545,8.46E-05,-0.000690213,5.94545,5.94545
5.94555,8.46E-05,-0.000600072,5.94555,5.94555
5.94565,8.46E-05,-0.000829822,5.94565,5.94565
5.94575,8.46E-05,-0.001079838,5.94575,5.94575
5.94585,8.46E-05,-0.001144576,5.94585,5.94585
5.94595,8.46E-05,-0.001022489,5.94595,5.94595
5.94605,8.47E-05,-0.001021574,5.94605,5.94605
5.94615,8.47E-05,-0.001228103,5.94615,5.94615
5.94625,8.46E-05,-0.00079302,5.94625,5.94625
5.94635,8.46E-05,-0.000849666,5.94635,5.94635
5.94645,8.46E-05,-0.000920315,5.94645,5.94645
5.94655,8.46E-05,-0.000869228,5.94655,5.94655
5.94665,8.46E-05,-0.000822082,5.94665,5.94665
5.94675,8.46E-05,-0.000455396,5.94675,5.94675
5.94685,8.46E-05,-0.000745662,5.94685,5.94685
5.94695,8.46E-05,-0.000568969,5.94695,5.94695
5.94705,8.47E-05,-0.000248656,5.94705,5.94705
5.94715,8.46E-05,-0.000351463,5.94715,5.94715
5.94725,8.46E-05,-0.00020165,5.94725,5.94725
5.94735,8.47E-05,-0.000539345,5.94735,5.94735
5.94745,8.46E-05,-0.000559399,5.94745,5.94745
5.94755,8.46E-05,-0.000227968,5.94755,5.94755
