Device ID,
Remarks,_A4_229
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
6.92825,6.2985478E-08,-9.99688720703125,6.92825,6.92825
6.92835,-2.62994E-08,-9.99752521514893,6.92835,6.92835
6.92845,-5.3241653E-08,-9.9979248046875,6.92845,6.92845
6.92855,-3.1663948E-08,-9.99798107147217,6.92855,6.92855
6.92865,-4.2660211E-08,-9.99806499481201,6.92865,6.92865
6.92875,-6.2065382E-08,-9.99789810180664,6.92875,6.92875
6.92885,-8.5442991E-08,-9.99822998046875,6.92885,6.92885
6.92895,-8.6448402E-08,-9.99796104431152,6.92895,6.92895
6.92905,-8.385808542E-06,-9.29399394989014,6.92905,6.92905
6.92915,3.5089622543E-05,-0.001566889113747,6.92915,6.92915
6.92925,5.0943788665E-05,-0.00069784920197,6.92925,6.92925
6.92935,5.1991610235E-05,-0.000385557796108,6.92935,6.92935
6.92945,5.2230581787E-05,8.289702237E-06,6.92945,6.92945
6.92955,5.228838927E-05,0.000214959363802,6.92955,6.92955
6.92965,5.2328003221E-05,7.3661205533E-05,6.92965,6.92965
6.92975,5.2312167099E-05,-0.000117316478281,6.92975,6.92975
6.92985,5.2282019169E-05,9.0056862973E-05,6.92985,6.92985
6.92995,5.2233452152E-05,8.9775392553E-05,6.92995,6.92995
6.93005,5.8900448494E-05,-0.693897247314453,6.93005,6.93005
6.93015,4.674547199E-06,-9.99689388275146,6.93015,6.93015
6.93025,4.6603578E-08,-9.99737167358398,6.93025,6.93025
6.93035,-4.3046906E-08,-9.99778938293457,6.93035,6.93035
6.93045,-8.7861601E-08,-9.99784278869629,6.93045,6.93045
6.93055,-7.9698779E-08,-9.99808597564697,6.93055,6.93055
6.93065,-9.0519272E-08,-9.99802875518799,6.93065,6.93065
6.93075,-8.7770204E-08,-9.99818515777588,6.93075,6.93075
6.93085,-7.6485676E-08,-9.99804401397705,6.93085,6.93085
6.93095,-8.1913498E-08,-9.99812507629395,6.93095,6.93095
6.93105,-8.35449282E-06,-9.31390857696533,6.93105,6.93105
6.93115,3.4947599488E-05,-0.001028365921229,6.93115,6.93115
6.93125,5.0980579545E-05,-0.000668083725031,6.93125,6.93125
6.93135,5.2008541388E-05,-0.000383376405807,6.93135,6.93135
6.93145,5.2264316764E-05,-0.000156159396283,6.93145,6.93145
6.93155,5.2291728935E-05,9.5827002951E-05,6.93155,6.93155
6.93165,5.2318497183E-05,0.000127562801936,6.93165,6.93165
6.93175,5.2320450777E-05,1.9970724679E-05,6.93175,6.93175
6.93185,5.2268591389E-05,0.000498751935083,6.93185,6.93185
6.93195,5.2243773098E-05,0.000382575002732,6.93195,6.93195
6.93205,5.8930978412E-05,-0.67407500743866,6.93205,6.93205
6.93215,4.818236903E-06,-9.99693584442139,6.93215,6.93215
6.93225,5.7838893E-08,-9.99745845794678,6.93225,6.93225
6.93235,-3.3442753E-08,-9.99803066253662,6.93235,6.93235
6.93245,-6.9131396E-08,-9.99783134460449,6.93245,6.93245
6.93255,-9.8175875E-08,-9.99786186218262,6.93255,6.93255
6.93265,-7.4896697E-08,-9.99782276153564,6.93265,6.93265
6.93275,-7.4228765E-08,-9.99784564971924,6.93275,6.93275
6.93285,-1.00594491E-07,-9.99796390533447,6.93285,6.93285
6.93295,-7.3722546E-08,-9.99820899963379,6.93295,6.93295
6.93305,-8.220583368E-06,-9.33439826965332,6.93305,6.93305
6.93315,3.4760156268E-05,-0.001395966275595,6.93315,6.93315
6.93325,5.095391316E-05,-0.000673502043355,6.93325,6.93325
6.93335,5.2020481235E-05,-0.000220545756747,6.93335,6.93335
6.93345,5.2254115872E-05,-0.000615448749159,6.93345,6.93345
6.93355,5.2330211474E-05,-0.000450366351288,6.93355,6.93355
6.93365,5.2314335335E-05,-0.000427567254519,6.93365,6.93365
6.93375,5.2333234635E-05,-0.000135189853609,6.93375,6.93375
6.93385,5.2321069234E-05,-0.000131530730869,6.93385,6.93385
6.93395,5.2242372476E-05,-0.00018620636547,6.93395,6.93395
6.93405,5.8956964494E-05,-0.653960585594177,6.93405,6.93405
6.93415,4.926160273E-06,-9.99701118469238,6.93415,6.93415
6.93425,8.6173252E-08,-9.99792671203613,6.93425,6.93425
6.93435,-3.3428691E-08,-9.99814510345459,6.93435,6.93435
6.93445,-4.6963095E-08,-9.99840641021729,6.93445,6.93445
6.93455,-5.4106447E-08,-9.99835205078125,6.93455,6.93455
6.93465,-8.2820478E-08,-9.99831581115723,6.93465,6.93465
6.93475,-7.2049204E-08,-9.99825191497803,6.93475,6.93475
6.93485,-8.9246683E-08,-9.99848747253418,6.93485,6.93485
6.93495,-8.6272628E-08,-9.99854946136475,6.93495,6.93495
6.93505,-8.133358278E-06,-9.35443496704102,6.93505,6.93505
6.93515,3.4597615013E-05,-0.001411939738318,6.93515,6.93515
6.93525,5.1004302804E-05,-0.00089403410675,6.93525,6.93525
6.93535,5.2045215853E-05,-0.000242359717959,6.93535,6.93535
6.93545,5.229758608E-05,-0.000374439696316,6.93545,6.93545
