Device ID,
Remarks,LTD_512_A4_229
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
6.23065,0.000102081736259,9.9944543838501,6.23065,6.23065
6.23075,0.000102086909465,9.99438667297363,6.23075,6.23075
6.23085,0.0001020581185,9.99453449249268,6.23085,6.23085
6.23095,0.000102079568023,9.99439144134521,6.23095,6.23095
6.23105,8.9233551989E-05,2.31360244750977,6.23105,6.23105
6.23115,2.2058227842E-05,-0.001173919648863,6.23115,6.23115
6.23125,2.0789635528E-05,-0.001046835794114,6.23125,6.23125
6.23135,2.0602319637E-05,-0.001378267188556,6.23135,6.23135
6.23145,2.056939411E-05,-0.001174834440462,6.23145,6.23145
6.23155,2.0555127776E-05,-0.001245553954504,6.23155,6.23155
6.23165,2.0566876628E-05,-0.001200729748234,6.23165,6.23165
6.23175,2.0641895389E-05,-0.001143380184658,6.23175,6.23175
6.23185,2.067330206E-05,-0.001061049988493,6.23185,6.23185
6.23195,2.0728361051E-05,-0.001169838360511,6.23195,6.23195
6.23205,5.0993839977E-05,7.66961240768433,6.23205,6.23205
6.23215,0.00010150711023,9.99440288543701,6.23215,6.23215
6.23225,0.000101924335468,9.99432468414307,6.23225,6.23225
6.23235,0.000102051235444,9.99399757385254,6.23235,6.23235
6.23245,0.000102067759144,9.99448585510254,6.23245,6.23245
6.23255,0.000102061349025,9.99449443817139,6.23255,6.23255
6.23265,0.000102070480352,9.99444198608398,6.23265,6.23265
6.23275,0.000102072888694,9.99447917938232,6.23275,6.23275
6.23285,0.0001020704658,9.99438762664795,6.23285,6.23285
6.23295,0.00010206708248,9.99448204040527,6.23295,6.23295
6.23305,8.9353037765E-05,2.33341336250305,6.23305,6.23305
6.23315,2.2051519409E-05,-0.001509502762929,6.23315,6.23315
6.23325,2.0737796149E-05,-0.001562911784276,6.23325,6.23325
6.23335,2.0528339519E-05,-0.001495218137279,6.23335,6.23335
6.23345,2.0521885745E-05,-0.001400925568305,6.23345,6.23345
6.23355,2.0573583242E-05,-0.001280034077354,6.23355,6.23355
6.23365,2.0575109374E-05,-0.001397759071551,6.23365,6.23365
6.23375,2.0615136236E-05,-0.00123943190556,6.23375,6.23375
6.23385,2.0638584829E-05,-0.001226484309882,6.23385,6.23385
6.23395,2.0668556317E-05,-0.001367852790281,6.23395,6.23395
6.23405,5.0831771659E-05,7.64928674697876,6.23405,6.23405
6.23415,0.00010150057642,9.99440097808838,6.23415,6.23415
6.23425,0.000101963698398,9.99454498291016,6.23425,6.23425
6.23435,0.000102058926132,9.99460983276367,6.23435,6.23435
6.23445,0.000102056888863,9.99448108673096,6.23445,6.23445
6.23455,0.000102071477158,9.99460124969482,6.23455,6.23455
6.23465,0.000102079582575,9.99460983276367,6.23465,6.23465
6.23475,0.00010209489119,9.99428749084473,6.23475,6.23475
6.23485,0.000102077370684,9.99431324005127,6.23485,6.23485
6.23495,0.000102102247183,9.99428749084473,6.23495,6.23495
6.23505,8.9504101197E-05,2.35364174842835,6.23505,6.23505
6.23515,2.2018461095E-05,-0.001058657537214,6.23515,6.23515
6.23525,2.0706516807E-05,-0.000777961162385,6.23525,6.23525
6.23535,2.0559627956E-05,-0.000638070341665,6.23535,6.23535
6.23545,2.0516592485E-05,-0.000905256136321,6.23545,6.23545
6.23555,2.0512576157E-05,-0.000752628839109,6.23555,6.23555
6.23565,2.0560450139E-05,-0.001044654403813,6.23565,6.23565
6.23575,2.0576613679E-05,-0.001206781365909,6.23575,6.23575
6.23585,2.0613160814E-05,-0.00083995499881,6.23585,6.23585
6.23595,2.066279194E-05,-0.000661362020764,6.23595,6.23595
6.23605,5.0642691349E-05,7.62958526611328,6.23605,6.23605
6.23615,0.000101481775346,9.99462604522705,6.23615,6.23615
6.23625,0.000101962636109,9.99464797973633,6.23625,6.23625
6.23635,0.000102021651401,9.99464130401611,6.23635,6.23635
6.23645,0.000102075806353,9.99470615386963,6.23645,6.23645
6.23655,0.00010207980813,9.99471855163574,6.23655,6.23655
6.23665,0.000102099831565,9.99454593658447,6.23665,6.23665
6.23675,0.000102105812402,9.99441528320313,6.23675,6.23675
6.23685,0.000102122758108,9.99451541900635,6.23685,6.23685
6.23695,0.000102098703792,9.99453067779541,6.23695,6.23695
6.23705,8.957877435E-05,2.37404656410217,6.23705,6.23705
6.23715,2.2008449378E-05,-0.000827077776194,6.23715,6.23715
6.23725,2.0649637008E-05,-0.000880134932231,6.23725,6.23725
6.23735,2.0495457647E-05,-0.000610978808254,6.23735,6.23735
6.23745,2.04874068E-05,-0.000669806147926,6.23745,6.23745
6.23755,2.0491013856E-05,-0.000981042045169,6.23755,6.23755
