A2_LTP,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.91385,4.62E-07,-0.000938471,,,,,,,,,,,,,,
5.91395,4.62E-07,-0.000882811,,,,,,,,,,,,,,
5.91405,4.62E-07,-0.000544134,,,,,,,,,,,,,,
5.91415,4.62E-07,-0.000331696,,,,,,,,,,,,,,
5.91425,4.62E-07,-0.000741303,,,,,,,,,,,,,,
5.91435,4.62E-07,-0.000976891,,,,,,,,,,,,,,
5.91445,4.62E-07,-0.000990543,,,,,,,,,,,,,,
5.91455,4.62E-07,-0.000625338,,,,,,,,,,,,,,
5.91465,4.63E-07,-0.000743836,,,,,,,,,,,,,,
5.91475,4.62E-07,-0.000761005,,,,,,,,,,,,,,
5.91485,4.63E-07,-0.000939034,,,,,,,,,,,,,,
5.91495,4.63E-07,-0.000774797,,,,,,,,,,,,,,
5.91505,4.62E-07,-0.000852483,,,,,,,,,,,,,,
5.91515,4.62E-07,-0.001030582,,,,,,,,,,,,,,
5.91525,4.63E-07,-0.000815892,,,,,,,,,,,,,,
5.91535,4.62E-07,-0.000813288,,,,,,,,,,,,,,
5.91545,4.63E-07,-0.000671428,,,,,,,,,,,,,,
5.91555,4.63E-07,-0.000818847,,,,,,,,,,,,,,
5.91565,4.63E-07,-0.000890129,,,,,,,,,,,,,,
5.91575,4.62E-07,-0.001133458,,,,,,,,,,,,,,
5.91585,4.62E-07,-0.001025515,,,,,,,,,,,,,,
5.91595,4.62E-07,-0.000749395,,,,,,,,,,,,,,
5.91605,4.63E-07,-0.000873733,,,,,,,,,,,,,,
5.91615,4.63E-07,-0.001207062,,,,,,,,,,,,,,
5.91625,4.62E-07,-0.001085116,,,,,,,,,,,,,,
5.91635,4.62E-07,-0.001006798,,,,,,,,,,,,,,
5.91645,4.62E-07,-0.001031496,,,,,,,,,,,,,,
5.91655,4.62E-07,-0.001119244,,,,,,,,,,,,,,
5.91665,4.62E-07,-0.001045007,,,,,,,,,,,,,,
5.91675,4.62E-07,-0.001107141,,,,,,,,,,,,,,
5.91685,4.62E-07,-0.001006516,,,,,,,,,,,,,,
5.91695,4.62E-07,-0.000954656,,,,,,,,,,,,,,
5.91705,4.62E-07,-0.000803859,,,,,,,,,,,,,,
5.91715,4.62E-07,-0.000833554,,,,,,,,,,,,,,
5.91725,4.62E-07,-0.001171456,,,,,,,,,,,,,,
5.91735,4.62E-07,-0.0011032,,,,,,,,,,,,,,
5.91745,4.62E-07,-0.000891607,,,,,,,,,,,,,,
5.91755,4.62E-07,-0.000857619,,,,,,,,,,,,,,
