A2_LTD,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.91295,2.66E-06,-0.002448512,,,,,,,,,,,,,,
5.91305,2.66E-06,-0.002802388,,,,,,,,,,,,,,
5.91315,2.66E-06,-0.002768822,,,,,,,,,,,,,,
5.91325,2.66E-06,-0.002559692,,,,,,,,,,,,,,
5.91335,2.66E-06,-0.002601068,,,,,,,,,,,,,,
5.91345,2.66E-06,-0.002541748,,,,,,,,,,,,,,
5.91355,2.66E-06,-0.002625203,,,,,,,,,,,,,,
5.91365,2.66E-06,-0.002199835,,,,,,,,,,,,,,
5.91375,2.66E-06,-0.002400522,,,,,,,,,,,,,,
5.91385,2.66E-06,-0.002330014,,,,,,,,,,,,,,
5.91395,2.66E-06,-0.002202016,,,,,,,,,,,,,,
5.91405,2.66E-06,-0.002103432,,,,,,,,,,,,,,
5.91415,2.66E-06,-0.002296238,,,,,,,,,,,,,,
5.91425,2.66E-06,-0.002316996,,,,,,,,,,,,,,
5.91435,2.66E-06,-0.002227559,,,,,,,,,,,,,,
5.91445,2.66E-06,-0.00218935,,,,,,,,,,,,,,
5.91455,2.66E-06,-0.002222775,,,,,,,,,,,,,,
5.91465,2.66E-06,-0.002214893,,,,,,,,,,,,,,
5.91475,2.66E-06,-0.002334799,,,,,,,,,,,,,,
5.91485,2.66E-06,-0.002163033,,,,,,,,,,,,,,
5.91495,2.66E-06,-0.002279983,,,,,,,,,,,,,,
5.91505,2.66E-06,-0.002558144,,,,,,,,,,,,,,
5.91515,2.66E-06,-0.002383915,,,,,,,,,,,,,,
5.91525,2.66E-06,-0.002146637,,,,,,,,,,,,,,
5.91535,2.66E-06,-0.002404321,,,,,,,,,,,,,,
5.91545,2.66E-06,-0.002539496,,,,,,,,,,,,,,
5.91555,2.66E-06,-0.002512546,,,,,,,,,,,,,,
5.91565,2.66E-06,-0.00277016,,,,,,,,,,,,,,
5.91575,2.66E-06,-0.002550685,,,,,,,,,,,,,,
5.91585,2.66E-06,-0.002302148,,,,,,,,,,,,,,
5.91595,2.66E-06,-0.002368364,,,,,,,,,,,,,,
5.91605,2.66E-06,-0.002433735,,,,,,,,,,,,,,
5.91615,2.66E-06,-0.002628159,,,,,,,,,,,,,,
5.91625,2.66E-06,-0.002505439,,,,,,,,,,,,,,
5.91635,2.66E-06,-0.002538441,,,,,,,,,,,,,,
5.91645,2.66E-06,-0.002352813,,,,,,,,,,,,,,
5.91655,2.66E-06,-0.002706477,,,,,,,,,,,,,,
5.91665,2.66E-06,-0.002404884,,,,,,,,,,,,,,
5.91675,2.66E-06,-0.002439012,,,,,,,,,,,,,,
5.91685,2.66E-06,-0.002711473,,,,,,,,,,,,,,
5.91695,2.66E-06,-0.002474759,,,,,,,,,,,,,,
5.91705,2.66E-06,-0.002432468,,,,,,,,,,,,,,
5.91715,2.66E-06,-0.002388981,,,,,,,,,,,,,,
5.91725,2.66E-06,-0.002425783,,,,,,,,,,,,,,
5.91735,2.66E-06,-0.002350913,,,,,,,,,,,,,,
5.91745,2.66E-06,-0.002379974,,,,,,,,,,,,,,
5.91755,2.66E-06,-0.002306511,,,,,,,,,,,,,,
5.91765,2.66E-06,-0.002513179,,,,,,,,,,,,,,
5.91775,2.66E-06,-0.002288427,,,,,,,,,,,,,,
5.91785,2.66E-06,-0.002396722,,,,,,,,,,,,,,
5.91795,2.66E-06,-0.002280616,,,,,,,,,,,,,,
5.91805,2.66E-06,-0.002450201,,,,,,,,,,,,,,
5.91815,2.66E-06,-0.002431202,,,,,,,,,,,,,,
5.91825,2.66E-06,-0.002457167,,,,,,,,,,,,,,
5.91835,2.66E-06,-0.002455267,,,,,,,,,,,,,,
5.91845,2.66E-06,-0.002455197,,,,,,,,,,,,,,
5.91855,2.66E-06,-0.002598675,,,,,,,,,,,,,,
5.91865,2.66E-06,-0.002493547,,,,,,,,,,,,,,
5.91875,2.66E-06,-0.002405729,,,,,,,,,,,,,,
5.91885,2.66E-06,-0.002404462,,,,,,,,,,,,,,
5.91895,2.66E-06,-0.002365619,,,,,,,,,,,,,,
5.91905,2.66E-06,-0.002268513,,,,,,,,,,,,,,
5.91915,2.66E-06,-0.002211516,,,,,,,,,,,,,,
5.91925,2.66E-06,-0.002284627,,,,,,,,,,,,,,
5.91935,2.66E-06,-0.002196528,,,,,,,,,,,,,,
5.91945,2.66E-06,-0.002203424,,,,,,,,,,,,,,
5.91955,2.66E-06,-0.00231397,,,,,,,,,,,,,,
5.91965,2.66E-06,-0.002037217,,,,,,,,,,,,,,
5.91975,2.66E-06,-0.001894442,,,,,,,,,,,,,,
5.91985,2.66E-06,-0.002027154,,,,,,,,,,,,,,
5.91995,2.66E-06,-0.002349928,,,,,,,,,,,,,,
5.92005,2.66E-06,-0.002458434,,,,,,,,,,,,,,
5.92015,2.66E-06,-0.002421139,,,,,,,,,,,,,,
5.92025,2.66E-06,-0.0022296,,,,,,,,,,,,,,
5.92035,2.66E-06,-0.002169929,,,,,,,,,,,,,,
5.92045,2.66E-06,-0.001911119,,,,,,,,,,,,,,
5.92055,2.66E-06,-0.001931455,,,,,,,,,,,,,,
5.92065,2.66E-06,-0.001893457,,,,,,,,,,,,,,
5.92075,2.66E-06,-0.002035106,,,,,,,,,,,,,,
5.92085,2.66E-06,-0.001996404,,,,,,,,,,,,,,
5.92095,2.66E-06,-0.00214136,,,,,,,,,,,,,,
5.92105,2.66E-06,-0.001847226,,,,,,,,,,,,,,
5.92115,2.66E-06,-0.002148045,,,,,,,,,,,,,,
