Device ID,
Remarks,_A3_228
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.91365,1.3256273633E-05,4.9806589232E-05,5.91365,5.91365
5.91375,1.3255014892E-05,-3.4212331229E-05,5.91375,5.91375
5.91385,1.3274173398E-05,0.000103778547782,5.91385,5.91385
5.91395,1.3265708731E-05,4.3754975195E-05,5.91395,5.91395
5.91405,1.327271184E-05,9.5264062111E-05,5.91405,5.91405
5.91415,1.3274813682E-05,9.8289870948E-05,5.91415,5.91415
5.91425,1.3241613487E-05,-0.000121116325317,5.91425,5.91425
5.91435,1.3260280866E-05,-7.3336719652E-05,5.91435,5.91435
5.91445,1.3238252905E-05,8.4920022346E-05,5.91445,5.91445
5.91455,1.3255303202E-05,-0.000259177584667,5.91455,5.91455
5.91465,1.3252828467E-05,0.000124466620036,5.91465,5.91465
5.91475,1.3246050003E-05,-4.6667399147E-05,5.91475,5.91475
5.91485,1.3244089132E-05,-5.293011418E-05,5.91485,5.91485
5.91495,1.327013797E-05,-0.00012519765005,5.91495,5.91495
5.91505,1.3269617739E-05,0.000154513589223,5.91505,5.91505
5.91515,1.3261532331E-05,0.00030123005854,5.91515,5.91515
5.91525,1.3258467334E-05,-9.4235903816E-05,5.91525,5.91525
5.91535,1.3244194633E-05,-1.1553962395E-05,5.91535,5.91535
5.91545,1.3233964637E-05,-0.000128082712763,5.91545,5.91545
5.91555,1.3229794604E-05,-0.000282187771518,5.91555,5.91555
5.91565,1.3228423995E-05,2.1800282411E-05,5.91565,5.91565
5.91575,1.3258882063E-05,-0.000390835368307,5.91575,5.91575
5.91585,1.324828645E-05,-0.000245455885306,5.91585,5.91585
5.91595,1.3266439964E-05,-0.000392453803215,5.91595,5.91595
5.91605,1.3249453332E-05,-0.000305409077555,5.91605,5.91605
5.91615,1.323179913E-05,-0.000142156233778,5.91615,5.91615
5.91625,1.3244946786E-05,1.6593079636E-05,5.91625,5.91625
5.91635,1.3246492927E-05,0.000112644862384,5.91635,5.91635
5.91645,1.3255682461E-05,0.000113630012493,5.91645,5.91645
5.91655,1.3249080439E-05,0.000132136687171,5.91655,5.91655
5.91665,1.3234513062E-05,-2.0842486265E-05,5.91665,5.91665
5.91675,1.3256076272E-05,8.9423556346E-05,5.91675,5.91675
5.91685,1.3243146896E-05,-3.1256891816E-05,5.91685,5.91685
5.91695,1.3235145161E-05,-1.676116517E-05,5.91695,5.91695
5.91705,1.323331071E-05,9.8712080217E-05,5.91705,5.91705
5.91715,1.3242935893E-05,-0.000243274495006,5.91715,5.91715
5.91725,1.3232642232E-05,-0.000194509746507,5.91725,5.91725
5.91735,1.3231215235E-05,4.466975588E-05,5.91735,5.91735
5.91745,1.3238576685E-05,-5.4196731071E-05,5.91745,5.91745
5.91755,1.3250346456E-05,-0.000185643424629,5.91755,5.91755
5.91765,1.3257004866E-05,-0.000417997245677,5.91765,5.91765
5.91775,1.3246957678E-05,-0.000273040001048,5.91775,5.91775
5.91785,1.3248925825E-05,-0.000277613871731,5.91785,5.91785
5.91795,1.3248546566E-05,-0.000265088456217,5.91795,5.91795
5.91805,1.3220233086E-05,-0.000205768563319,5.91805,5.91805
5.91815,1.3235848201E-05,-0.000443259224994,5.91815,5.91815
5.91825,1.3263705114E-05,-0.000211327598663,5.91825,5.91825
5.91835,1.3257876162E-05,-0.000312586576911,5.91835,5.91835
5.91845,1.3245235095E-05,-0.000240670895437,5.91845,5.91845
5.91855,1.3257806131E-05,-0.000364447507309,5.91855,5.91855
5.91865,1.3257644241E-05,-0.000460780749563,5.91865,5.91865
5.91875,1.3256954844E-05,-0.000649858498946,5.91875,5.91875
5.91885,1.3223220776E-05,-0.000302875851048,5.91885,5.91885
5.91895,1.3270384443E-05,-0.000416589900851,5.91895,5.91895
5.91905,1.3266095266E-05,-0.000286620925181,5.91905,5.91905
