Device ID,,,,
Remarks,A3_LTD_1ms_1ms_228,,,
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.93025,6.70E-05,-0.001229862,5.93025,5.93025
5.93035,6.71E-05,-0.001407118,5.93035,5.93035
5.93045,6.71E-05,-0.001169627,5.93045,5.93045
5.93055,6.70E-05,-0.001269479,5.93055,5.93055
5.93065,6.70E-05,-0.00147066,5.93065,5.93065
5.93075,6.71E-05,-0.001385515,5.93075,5.93075
5.93085,6.70E-05,-0.001468549,5.93085,5.93085
5.93095,6.71E-05,-0.001392481,5.93095,5.93095
5.93105,6.70E-05,-0.001354905,5.93105,5.93105
5.93115,6.71E-05,-0.001323381,5.93115,5.93115
5.93125,6.70E-05,-0.001653545,5.93125,5.93125
5.93135,6.70E-05,-0.001563827,5.93135,5.93135
5.93145,6.71E-05,-0.001408314,5.93145,5.93145
5.93155,6.71E-05,-0.001374327,5.93155,5.93155
5.93165,6.71E-05,-0.001441528,5.93165,5.93165
5.93175,6.71E-05,-0.001467986,5.93175,5.93175
5.93185,6.71E-05,-0.001558338,5.93185,5.93185
5.93195,6.71E-05,-0.001501059,5.93195,5.93195
5.93205,6.71E-05,-0.001443287,5.93205,5.93205
5.93215,6.71E-05,-0.00139607,5.93215,5.93215
5.93225,6.71E-05,-0.001538142,5.93225,5.93225
5.93235,6.71E-05,-0.001666211,5.93235,5.93235
5.93245,6.71E-05,-0.001411973,5.93245,5.93245
5.93255,6.71E-05,-0.001405429,5.93255,5.93255
5.93265,6.71E-05,-0.001351387,5.93265,5.93265
5.93275,6.71E-05,-0.00126582,5.93275,5.93275
5.93285,6.71E-05,-0.00118363,5.93285,5.93285
5.93295,6.71E-05,-0.001417251,5.93295,5.93295
5.93305,6.71E-05,-0.001300722,5.93305,5.93305
5.93315,6.71E-05,-0.001212763,5.93315,5.93315
5.93325,6.71E-05,-0.001337665,5.93325,5.93325
5.93335,6.71E-05,-0.001144295,5.93335,5.93335
5.93345,6.71E-05,-0.001245976,5.93345,5.93345
5.93355,6.71E-05,-0.001071535,5.93355,5.93355
5.93365,6.71E-05,-0.000996312,5.93365,5.93365
5.93375,6.71E-05,-0.001148869,5.93375,5.93375
5.93385,6.71E-05,-0.001158087,5.93385,5.93385
5.93395,6.71E-05,-0.001319721,5.93395,5.93395
5.93405,6.71E-05,-0.000934037,5.93405,5.93405
5.93415,6.71E-05,-0.001047399,5.93415,5.93415
5.93425,6.71E-05,-0.00133478,5.93425,5.93425
5.93435,6.70E-05,-0.001188415,5.93435,5.93435
5.93445,6.71E-05,-0.001216281,5.93445,5.93445
5.93455,6.71E-05,-0.001148165,5.93455,5.93455
5.93465,6.71E-05,-0.001189119,5.93465,5.93465
5.93475,6.71E-05,-0.001390089,5.93475,5.93475
5.93485,6.71E-05,-0.001480793,5.93485,5.93485
5.93495,6.71E-05,-0.00144385,5.93495,5.93495
5.93505,6.70E-05,-0.001338158,5.93505,5.93505
5.93515,6.70E-05,-0.001232606,5.93515,5.93515
5.93525,6.70E-05,-0.001324577,5.93525,5.93525
5.93535,6.70E-05,-0.001497751,5.93535,5.93535
5.93545,6.70E-05,-0.001256953,5.93545,5.93545
5.93555,6.71E-05,-0.000889846,5.93555,5.93555
5.93565,6.71E-05,-0.000960354,5.93565,5.93565
5.93575,6.71E-05,-0.000970135,5.93575,5.93575
5.93585,6.71E-05,-0.001076531,5.93585,5.93585
5.93595,6.70E-05,-0.001344913,5.93595,5.93595
5.93605,6.70E-05,-0.00117596,5.93605,5.93605
5.93615,6.70E-05,-0.001221418,5.93615,5.93615
5.93625,6.71E-05,-0.001373975,5.93625,5.93625
5.93635,6.71E-05,-0.001359127,5.93635,5.93635
5.93645,6.70E-05,-0.001156891,5.93645,5.93645
5.93655,6.70E-05,-0.001003771,5.93655,5.93655
5.93665,6.70E-05,-0.000993005,5.93665,5.93665
