A1_LTD,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,
5.93975,2.95E-06,-0.001220607,,,,
5.93985,2.94E-06,-0.001144189,,,,
5.93995,2.95E-06,-0.001064181,,,,
5.94005,2.95E-06,-0.001117379,,,,
5.94015,2.96E-06,-0.001403984,,,,
5.94025,2.95E-06,-0.001731753,,,,
5.94035,2.96E-06,-0.001687774,,,,
5.94045,2.94E-06,-0.001347338,,,,
5.94055,2.96E-06,-0.001375696,,,,
5.94065,2.96E-06,-0.001378581,,,,
5.94075,2.97E-06,-0.00152797,,,,
5.94085,2.97E-06,-0.001368097,,,,
5.94095,2.96E-06,-0.001231162,,,,
5.94105,2.99E-06,-0.001044408,,,,
5.94115,2.98E-06,-0.001077692,,,,
5.94125,2.96E-06,-0.00109465,,,,
5.94135,2.97E-06,-0.001172054,,,,
5.94145,2.98E-06,-0.001178739,,,,
5.94155,2.98E-06,-0.001387377,,,,
5.94165,2.97E-06,-0.001327635,,,,
5.94175,2.93E-06,-0.001266135,,,,
5.94185,2.97E-06,-0.001305962,,,,
5.94195,2.97E-06,-0.001344594,,,,
5.94205,2.96E-06,-0.001225955,,,,
5.94215,2.95E-06,-0.001219763,,,,
5.94225,2.95E-06,-0.001439519,,,,
5.94235,2.98E-06,-0.001287034,,,,
5.94245,2.98E-06,-0.001086347,,,,
5.94255,2.96E-06,-0.001316517,,,,
5.94265,2.97E-06,-0.00128626,,,,
5.94275,2.98E-06,-0.001292945,,,,
5.94285,2.91E-06,-0.001052852,,,,
5.94295,2.92E-06,-0.00117128,,,,
5.94305,2.94E-06,-0.001132156,,,,
5.94315,2.92E-06,-0.001251147,,,,
5.94325,2.95E-06,-0.00095089,,,,
5.94335,2.95E-06,-0.000989944,,,,
5.94345,2.97E-06,-0.001183383,,,,
5.94355,2.96E-06,-0.001284008,,,,
5.94365,2.97E-06,-0.001270005,,,,
5.94375,2.96E-06,-0.001222789,,,,
5.94385,2.97E-06,-0.001264727,,,,
5.94395,2.97E-06,-0.000840062,,,,
5.94405,2.96E-06,-0.000922392,,,,
5.94415,2.97E-06,-0.00069004,,,,
5.94425,2.96E-06,-0.000810719,,,,
5.94435,2.99E-06,-0.000689336,,,,
5.94445,3.01E-06,-0.00091634,,,,
5.94455,2.96E-06,-0.000870109,,,,
5.94465,2.95E-06,-0.001065026,,,,
5.94475,2.97E-06,-0.001252695,,,,
5.94485,2.97E-06,-0.001124627,,,,
5.94495,2.94E-06,-0.001182539,,,,
5.94505,2.96E-06,-0.001256565,,,,
5.94515,2.96E-06,-0.001208434,,,,
5.94525,2.95E-06,-0.001342976,,,,
5.94535,2.96E-06,-0.001151014,,,,
5.94545,2.97E-06,-0.000938717,,,,
5.94555,2.98E-06,-0.000949554,,,,
5.94565,2.99E-06,-0.001252906,,,,
5.94575,2.95E-06,-0.001263461,,,,
5.94585,2.99E-06,-0.001269512,,,,
5.94595,2.95E-06,-0.001106261,,,,
5.94605,2.95E-06,-0.000846607,,,,
5.94615,2.97E-06,-0.000945331,,,,
5.94625,2.97E-06,-0.001189998,,,,
5.94635,2.94E-06,-0.001008521,,,,
5.94645,2.99E-06,-0.00100831,,,,
5.94655,2.99E-06,-0.000915285,,,,
5.94665,2.96E-06,-0.000970241,,,,
5.94675,2.94E-06,-0.000981993,,,,
5.94685,2.96E-06,-0.000965316,,,,
5.94695,2.95E-06,-0.000834785,,,,
5.94705,2.94E-06,-0.000912752,,,,
5.94715,2.96E-06,-0.001206534,,,,
5.94725,2.96E-06,-0.000900297,,,,
5.94735,2.96E-06,-0.000930203,,,,
5.94745,2.95E-06,-0.001015206,,,,
5.94755,2.95E-06,-0.000746263,,,,
5.94765,2.95E-06,-0.001178739,,,,
5.94775,2.92E-06,-0.000961234,,,,
